Id,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
72,2005-10-02,0.0,4.0,2.0,3.0,A,0.0,1.0,A,20.0,13.0,13.0,6.0,10.0,17.0,10.0,6.0,5.0,4.0,1.0,0.0,0.0,Ses2005/2006
73,2005-10-02,13.0,19.0,1.0,4.0,A,1.0,2.0,A,51.0,11.0,7.0,5.0,5.0,15.0,17.0,4.0,2.0,1.0,3.0,0.0,0.0,Ses2005/2006
74,2005-10-02,3.0,1.0,2.0,0.0,H,0.0,0.0,D,17.0,14.0,5.0,5.0,4.0,16.0,10.0,4.0,2.0,1.0,0.0,0.0,0.0,Ses2005/2006
75,2005-10-02,9.0,18.0,2.0,1.0,H,0.0,0.0,D,8.0,16.0,13.0,9.0,4.0,11.0,14.0,4.0,8.0,0.0,2.0,0.0,0.0,Ses2005/2006
76,2005-10-15,19.0,18.0,5.0,1.0,H,0.0,1.0,A,11.0,17.0,4.0,8.0,2.0,10.0,17.0,5.0,3.0,2.0,2.0,0.0,1.0,Ses2005/2006
77,2005-10-15,13.0,11.0,1.0,0.0,H,0.0,0.0,D,17.0,19.0,4.0,5.0,1.0,8.0,22.0,9.0,2.0,0.0,3.0,0.0,1.0,Ses2005/2006
78,2005-10-15,4.0,5.0,1.0,1.0,D,0.0,0.0,D,37.0,14.0,9.0,7.0,4.0,12.0,12.0,6.0,3.0,2.0,3.0,0.0,0.0,Ses2005/2006
79,2005-10-15,6.0,14.0,1.0,3.0,A,0.0,1.0,A,18.0,11.0,15.0,6.0,9.0,12.0,10.0,4.0,5.0,3.0,1.0,0.0,0.0,Ses2005/2006
80,2005-10-15,16.0,1.0,2.0,0.0,H,0.0,0.0,D,3.0,7.0,8.0,5.0,4.0,13.0,9.0,5.0,8.0,0.0,2.0,0.0,0.0,Ses2005/2006
81,2005-10-15,17.0,8.0,2.0,1.0,H,1.0,1.0,D,65.0,5.0,14.0,4.0,10.0,23.0,10.0,3.0,6.0,1.0,2.0,0.0,0.0,Ses2005/2006
82,2005-10-15,9.0,15.0,1.0,0.0,H,1.0,0.0,H,32.0,12.0,11.0,6.0,7.0,15.0,20.0,6.0,5.0,2.0,3.0,1.0,0.0,Ses2005/2006
83,2005-10-16,10.0,0.0,0.0,1.0,A,0.0,1.0,A,51.0,8.0,4.0,5.0,1.0,13.0,19.0,11.0,5.0,2.0,2.0,0.0,0.0,Ses2005/2006
84,2005-10-16,3.0,7.0,2.0,1.0,H,1.0,0.0,H,24.0,22.0,6.0,17.0,3.0,11.0,13.0,9.0,3.0,2.0,0.0,0.0,0.0,Ses2005/2006
85,2005-10-17,12.0,2.0,1.0,1.0,D,0.0,1.0,A,5.0,14.0,13.0,3.0,1.0,19.0,19.0,6.0,1.0,2.0,3.0,0.0,0.0,Ses2005/2006
86,2005-10-22,8.0,3.0,1.0,0.0,H,0.0,0.0,D,5.0,4.0,7.0,2.0,4.0,24.0,17.0,4.0,3.0,3.0,5.0,0.0,0.0,Ses2005/2006
87,2005-10-22,0.0,9.0,0.0,2.0,A,0.0,1.0,A,53.0,16.0,6.0,5.0,6.0,12.0,13.0,9.0,5.0,0.0,0.0,0.0,0.0,Ses2005/2006
88,2005-10-22,11.0,10.0,2.0,0.0,H,0.0,0.0,D,65.0,11.0,3.0,5.0,2.0,22.0,17.0,3.0,9.0,0.0,3.0,0.0,0.0,Ses2005/2006
89,2005-10-22,2.0,13.0,2.0,0.0,H,1.0,0.0,H,60.0,6.0,14.0,3.0,6.0,9.0,14.0,3.0,8.0,0.0,2.0,0.0,0.0,Ses2005/2006
90,2005-10-22,14.0,16.0,1.0,1.0,D,1.0,0.0,H,31.0,13.0,9.0,9.0,7.0,15.0,12.0,7.0,8.0,2.0,3.0,0.0,0.0,Ses2005/2006
91,2005-10-22,5.0,12.0,1.0,2.0,A,1.0,0.0,H,52.0,15.0,11.0,6.0,7.0,10.0,15.0,6.0,5.0,2.0,3.0,0.0,0.0,Ses2005/2006
92,2005-10-23,18.0,17.0,2.0,0.0,H,0.0,0.0,D,20.0,19.0,2.0,12.0,1.0,13.0,16.0,10.0,1.0,2.0,2.0,0.0,0.0,Ses2005/2006
93,2005-10-23,1.0,19.0,1.0,1.0,D,1.0,0.0,H,24.0,4.0,24.0,4.0,12.0,14.0,14.0,3.0,11.0,2.0,2.0,0.0,0.0,Ses2005/2006
94,2005-10-23,15.0,6.0,3.0,2.0,H,2.0,2.0,D,11.0,12.0,10.0,9.0,5.0,12.0,13.0,5.0,3.0,2.0,2.0,0.0,0.0,Ses2005/2006
95,2005-10-23,7.0,4.0,2.0,1.0,H,0.0,0.0,D,18.0,15.0,19.0,8.0,9.0,11.0,9.0,4.0,7.0,1.0,2.0,0.0,0.0,Ses2005/2006
96,2005-10-29,10.0,1.0,0.0,1.0,A,0.0,1.0,A,11.0,18.0,11.0,8.0,6.0,11.0,15.0,8.0,6.0,0.0,1.0,0.0,0.0,Ses2005/2006
97,2005-10-29,12.0,18.0,0.0,1.0,A,0.0,0.0,D,24.0,7.0,11.0,4.0,7.0,11.0,13.0,4.0,2.0,1.0,0.0,0.0,0.0,Ses2005/2006
98,2005-10-29,19.0,11.0,4.0,2.0,H,2.0,2.0,D,5.0,19.0,6.0,10.0,4.0,12.0,19.0,5.0,2.0,1.0,5.0,0.0,0.0,Ses2005/2006
99,2005-10-29,13.0,7.0,2.0,0.0,H,1.0,0.0,H,31.0,17.0,4.0,9.0,2.0,15.0,13.0,10.0,5.0,2.0,0.0,0.0,0.0,Ses2005/2006
100,2005-10-29,4.0,14.0,4.0,1.0,H,3.0,0.0,H,8.0,7.0,13.0,4.0,8.0,14.0,22.0,2.0,6.0,1.0,4.0,0.0,0.0,Ses2005/2006
101,2005-10-29,6.0,5.0,1.0,4.0,A,1.0,0.0,H,17.0,5.0,5.0,2.0,5.0,11.0,9.0,11.0,2.0,0.0,1.0,0.0,0.0,Ses2005/2006
102,2005-10-29,16.0,8.0,1.0,1.0,D,1.0,0.0,H,18.0,11.0,10.0,3.0,7.0,18.0,13.0,6.0,1.0,4.0,2.0,0.0,0.0,Ses2005/2006
103,2005-10-29,9.0,2.0,1.0,0.0,H,0.0,0.0,D,54.0,12.0,7.0,6.0,1.0,11.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,Ses2005/2006
104,2005-10-30,17.0,15.0,0.0,3.0,A,0.0,0.0,D,52.0,8.0,11.0,4.0,8.0,9.0,14.0,9.0,4.0,0.0,1.0,0.0,0.0,Ses2005/2006
105,2005-10-31,3.0,0.0,3.0,1.0,H,2.0,0.0,H,3.0,13.0,11.0,5.0,5.0,17.0,10.0,2.0,6.0,1.0,1.0,0.0,0.0,Ses2005/2006
106,2005-11-05,8.0,6.0,3.0,1.0,H,2.0,0.0,H,8.0,12.0,1.0,9.0,1.0,11.0,13.0,4.0,6.0,0.0,1.0,0.0,0.0,Ses2005/2006
107,2005-11-05,0.0,13.0,0.0,2.0,A,0.0,0.0,D,18.0,6.0,10.0,2.0,6.0,16.0,11.0,3.0,5.0,2.0,2.0,0.0,0.0,Ses2005/2006
108,2005-11-05,11.0,12.0,4.0,1.0,H,2.0,1.0,H,32.0,9.0,10.0,3.0,9.0,9.0,15.0,7.0,9.0,0.0,2.0,0.0,0.0,Ses2005/2006
109,2005-11-05,2.0,3.0,2.0,1.0,H,2.0,1.0,H,11.0,9.0,4.0,5.0,2.0,10.0,16.0,4.0,2.0,1.0,3.0,0.0,0.0,Ses2005/2006
110,2005-11-05,15.0,10.0,1.0,0.0,H,0.0,0.0,D,20.0,10.0,9.0,5.0,3.0,20.0,18.0,3.0,2.0,3.0,2.0,0.0,0.0,Ses2005/2006
111,2005-11-05,5.0,9.0,0.0,2.0,A,0.0,0.0,D,24.0,7.0,7.0,4.0,5.0,11.0,13.0,5.0,8.0,1.0,2.0,0.0,0.0,Ses2005/2006
112,2005-11-05,7.0,17.0,1.0,0.0,H,0.0,0.0,D,38.0,10.0,10.0,6.0,6.0,15.0,12.0,8.0,5.0,2.0,0.0,0.0,0.0,Ses2005/2006
113,2005-11-06,1.0,4.0,1.0,0.0,H,1.0,0.0,H,5.0,12.0,17.0,8.0,9.0,21.0,16.0,9.0,3.0,2.0,1.0,0.0,0.0,Ses2005/2006
114,2005-11-06,14.0,19.0,1.0,0.0,H,1.0,0.0,H,51.0,10.0,21.0,5.0,11.0,19.0,14.0,5.0,9.0,3.0,4.0,0.0,0.0,Ses2005/2006
115,2005-11-07,18.0,16.0,1.0,0.0,H,1.0,0.0,H,52.0,9.0,9.0,8.0,7.0,13.0,9.0,6.0,5.0,0.0,1.0,0.0,0.0,Ses2005/2006
116,2005-11-19,12.0,14.0,1.0,3.0,A,0.0,1.0,A,5.0,18.0,13.0,11.0,7.0,13.0,11.0,4.0,3.0,0.0,2.0,0.0,0.0,Ses2005/2006
117,2005-11-19,19.0,15.0,3.0,0.0,H,0.0,0.0,D,17.0,12.0,3.0,4.0,2.0,12.0,13.0,3.0,5.0,2.0,1.0,0.0,0.0,Ses2005/2006
118,2005-11-19,13.0,5.0,3.0,0.0,H,2.0,0.0,H,38.0,15.0,7.0,11.0,5.0,7.0,8.0,7.0,6.0,1.0,1.0,0.0,0.0,Ses2005/2006
119,2005-11-19,3.0,11.0,0.0,0.0,D,0.0,0.0,D,60.0,12.0,5.0,4.0,4.0,7.0,15.0,4.0,4.0,2.0,4.0,0.0,0.0,Ses2005/2006
120,2005-11-19,6.0,0.0,1.0,3.0,A,0.0,0.0,D,37.0,8.0,16.0,6.0,11.0,10.0,13.0,6.0,5.0,2.0,1.0,0.0,0.0,Ses2005/2006
121,2005-11-19,17.0,1.0,4.0,0.0,H,1.0,0.0,H,3.0,11.0,11.0,8.0,6.0,11.0,9.0,4.0,8.0,0.0,0.0,0.0,0.0,Ses2005/2006
122,2005-11-19,9.0,8.0,2.0,3.0,A,2.0,3.0,A,51.0,11.0,13.0,5.0,8.0,16.0,17.0,2.0,2.0,3.0,3.0,0.0,0.0,Ses2005/2006
123,2005-11-20,4.0,2.0,3.0,2.0,H,0.0,1.0,A,31.0,20.0,9.0,11.0,6.0,9.0,16.0,9.0,4.0,0.0,1.0,0.0,0.0,Ses2005/2006
124,2005-11-20,16.0,7.0,1.0,1.0,D,1.0,0.0,H,8.0,15.0,8.0,8.0,4.0,16.0,13.0,9.0,7.0,3.0,1.0,0.0,0.0,Ses2005/2006
125,2005-11-26,8.0,11.0,3.0,0.0,H,2.0,0.0,H,37.0,13.0,15.0,10.0,9.0,9.0,15.0,9.0,10.0,1.0,2.0,0.0,0.0,Ses2005/2006
126,2005-11-26,0.0,12.0,1.0,0.0,H,0.0,0.0,D,24.0,16.0,5.0,10.0,3.0,9.0,12.0,10.0,3.0,2.0,2.0,0.0,0.0,Ses2005/2006
